Driver,DriverNumber,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,Stint,FreshTyre,Position,IsAccurate,TrackStatus,IsPersonalBest
ANT,12,24.0,0 days 00:01:16.465000,0 days 00:00:21.380000,0 days 00:00:24.250000,0 days 00:00:30.835000,236.0,278.0,270.0,325.0,SOFT,28.0,1.0,False,1.0,True,1,False
ANT,12,25.0,0 days 00:01:18.543000,0 days 00:00:22.432000,0 days 00:00:25.706000,0 days 00:00:30.405000,234.0,278.0,274.0,325.0,SOFT,29.0,1.0,False,2.0,True,1,False
ANT,12,26.0,0 days 00:01:16.480000,0 days 00:00:21.990000,0 days 00:00:24.427000,0 days 00:00:30.063000,236.0,284.0,278.0,338.0,SOFT,30.0,1.0,False,2.0,True,1,False
ANT,12,27.0,0 days 00:01:15.971000,0 days 00:00:21.874000,0 days 00:00:24.201000,0 days 00:00:29.896000,235.0,283.0,289.0,335.0,SOFT,31.0,1.0,False,2.0,True,1,False
ANT,12,28.0,0 days 00:01:16.427000,0 days 00:00:22.056000,0 days 00:00:24.401000,0 days 00:00:29.970000,238.0,286.0,282.0,338.0,SOFT,32.0,1.0,False,2.0,True,1,False
ANT,12,29.0,0 days 00:01:15.752000,0 days 00:00:22.017000,0 days 00:00:24.009000,0 days 00:00:29.726000,235.0,285.0,281.0,338.0,SOFT,33.0,1.0,False,2.0,True,1,False
ANT,12,30.0,0 days 00:01:16.361000,0 days 00:00:21.786000,0 days 00:00:24.587000,0 days 00:00:29.988000,236.0,274.0,275.0,323.0,SOFT,34.0,1.0,False,1.0,True,12,False
ANT,12,31.0,0 days 00:01:59.239000,0 days 00:00:26.854000,0 days 00:00:37.012000,0 days 00:00:55.373000,169.0,140.0,,270.0,SOFT,35.0,1.0,False,1.0,False,26,False
ANT,12,32.0,0 days 00:01:41.101000,0 days 00:00:28.986000,0 days 00:00:34.740000,0 days 00:00:37.375000,173.0,208.0,289.0,240.0,MEDIUM,1.0,2.0,True,1.0,False,671,False
ANT,12,33.0,0 days 00:01:19.265000,0 days 00:00:22.882000,0 days 00:00:25.561000,0 days 00:00:30.822000,239.0,266.0,268.0,294.0,MEDIUM,2.0,2.0,True,1.0,True,1,False
ANT,12,34.0,0 days 00:01:16.290000,0 days 00:00:21.855000,0 days 00:00:24.269000,0 days 00:00:30.166000,239.0,283.0,287.0,318.0,MEDIUM,3.0,2.0,True,1.0,True,1,False
ANT,12,35.0,0 days 00:01:16.101000,0 days 00:00:21.607000,0 days 00:00:24.405000,0 days 00:00:30.089000,241.0,283.0,282.0,308.0,MEDIUM,4.0,2.0,True,1.0,True,1,False
ANT,12,36.0,0 days 00:01:15.708000,0 days 00:00:21.535000,0 days 00:00:24.030000,0 days 00:00:30.143000,238.0,280.0,280.0,300.0,MEDIUM,5.0,2.0,True,1.0,True,1,False
ANT,12,37.0,0 days 00:01:15.466000,0 days 00:00:21.359000,0 days 00:00:23.940000,0 days 00:00:30.167000,240.0,281.0,281.0,303.0,MEDIUM,6.0,2.0,True,1.0,True,1,False
ANT,12,38.0,0 days 00:01:15.235000,0 days 00:00:21.321000,0 days 00:00:23.936000,0 days 00:00:29.978000,241.0,282.0,280.0,306.0,MEDIUM,7.0,2.0,True,1.0,True,1,True
ANT,12,39.0,0 days 00:01:15.290000,0 days 00:00:21.388000,0 days 00:00:24.021000,0 days 00:00:29.881000,241.0,284.0,282.0,307.0,MEDIUM,8.0,2.0,True,1.0,True,1,False
ANT,12,40.0,0 days 00:01:15.871000,0 days 00:00:21.340000,0 days 00:00:24.012000,0 days 00:00:30.519000,242.0,286.0,281.0,310.0,MEDIUM,9.0,2.0,True,1.0,True,12,False
ANT,12,41.0,0 days 00:01:17.905000,0 days 00:00:21.690000,0 days 00:00:25.939000,0 days 00:00:30.276000,241.0,285.0,277.0,301.0,MEDIUM,10.0,2.0,True,1.0,True,1,False
ANT,12,42.0,0 days 00:01:15.244000,0 days 00:00:21.285000,0 days 00:00:23.963000,0 days 00:00:29.996000,240.0,281.0,281.0,302.0,MEDIUM,11.0,2.0,True,1.0,True,1,False
ANT,12,43.0,0 days 00:01:14.814000,0 days 00:00:21.128000,0 days 00:00:23.801000,0 days 00:00:29.885000,241.0,282.0,283.0,306.0,MEDIUM,12.0,2.0,True,1.0,True,1,True
ANT,12,44.0,0 days 00:01:15.179000,0 days 00:00:21.308000,0 days 00:00:23.880000,0 days 00:00:29.991000,241.0,286.0,286.0,309.0,MEDIUM,13.0,2.0,True,1.0,True,1,False
ANT,12,45.0,0 days 00:01:15.276000,0 days 00:00:21.378000,0 days 00:00:23.961000,0 days 00:00:29.937000,241.0,283.0,283.0,306.0,MEDIUM,14.0,2.0,True,1.0,True,1,False
ANT,12,46.0,0 days 00:01:33.385000,0 days 00:00:21.219000,0 days 00:00:32.216000,0 days 00:00:39.950000,241.0,211.0,265.0,261.0,MEDIUM,15.0,2.0,True,1.0,False,167,False
ANT,12,47.0,0 days 00:01:15.877000,0 days 00:00:21.840000,0 days 00:00:23.880000,0 days 00:00:30.157000,240.0,282.0,278.0,301.0,MEDIUM,16.0,2.0,True,1.0,True,1,False
ANT,12,48.0,0 days 00:01:15.019000,0 days 00:00:21.109000,0 days 00:00:23.688000,0 days 00:00:30.222000,241.0,280.0,279.0,299.0,MEDIUM,17.0,2.0,True,1.0,True,1,False
ANT,12,49.0,0 days 00:01:14.935000,0 days 00:00:21.120000,0 days 00:00:23.790000,0 days 00:00:30.025000,240.0,281.0,277.0,299.0,MEDIUM,18.0,2.0,True,1.0,True,1,False
ANT,12,50.0,0 days 00:01:14.770000,0 days 00:00:21.099000,0 days 00:00:23.646000,0 days 00:00:30.025000,241.0,281.0,279.0,299.0,MEDIUM,19.0,2.0,True,1.0,True,1,True
ANT,12,51.0,0 days 00:01:14.604000,0 days 00:00:21.101000,0 days 00:00:23.642000,0 days 00:00:29.861000,241.0,282.0,282.0,309.0,MEDIUM,20.0,2.0,True,1.0,True,1,True
ANT,12,52.0,0 days 00:01:14.366000,0 days 00:00:21.050000,0 days 00:00:23.653000,0 days 00:00:29.663000,243.0,282.0,283.0,305.0,MEDIUM,21.0,2.0,True,1.0,True,1,True
ANT,12,53.0,0 days 00:01:46.356000,0 days 00:00:30.277000,0 days 00:00:33.041000,0 days 00:00:43.038000,179.0,210.0,234.0,239.0,MEDIUM,22.0,2.0,True,1.0,False,16,False
ANT,12,54.0,0 days 00:01:23.636000,0 days 00:00:27.668000,0 days 00:00:25.392000,0 days 00:00:30.576000,203.0,275.0,285.0,303.0,MEDIUM,23.0,2.0,True,1.0,False,671,False
ANT,12,55.0,0 days 00:01:15.387000,0 days 00:00:21.477000,0 days 00:00:23.954000,0 days 00:00:29.956000,241.0,283.0,283.0,305.0,MEDIUM,24.0,2.0,True,1.0,True,1,False
ANT,12,56.0,0 days 00:01:15.009000,0 days 00:00:21.261000,0 days 00:00:24.022000,0 days 00:00:29.726000,242.0,284.0,283.0,310.0,MEDIUM,25.0,2.0,True,1.0,True,1,False
ANT,12,57.0,0 days 00:01:14.909000,0 days 00:00:21.203000,0 days 00:00:23.906000,0 days 00:00:29.800000,241.0,282.0,278.0,304.0,MEDIUM,26.0,2.0,True,1.0,True,1,False
ANT,12,58.0,0 days 00:01:14.701000,0 days 00:00:21.192000,0 days 00:00:23.678000,0 days 00:00:29.831000,241.0,283.0,279.0,301.0,MEDIUM,27.0,2.0,True,1.0,True,1,False
ANT,12,59.0,0 days 00:01:14.790000,0 days 00:00:21.055000,0 days 00:00:23.765000,0 days 00:00:29.970000,242.0,283.0,281.0,304.0,MEDIUM,28.0,2.0,True,1.0,True,1,False
ANT,12,60.0,0 days 00:01:14.445000,0 days 00:00:21.244000,0 days 00:00:23.692000,0 days 00:00:29.509000,241.0,284.0,284.0,308.0,MEDIUM,29.0,2.0,True,1.0,True,1,False
ANT,12,61.0,0 days 00:01:14.340000,0 days 00:00:21.105000,0 days 00:00:23.590000,0 days 00:00:29.645000,243.0,287.0,258.0,317.0,MEDIUM,30.0,2.0,True,1.0,True,12,True
ANT,12,62.0,0 days 00:01:15.413000,0 days 00:00:22.236000,0 days 00:00:23.657000,0 days 00:00:29.520000,243.0,285.0,290.0,313.0,MEDIUM,31.0,2.0,True,1.0,True,1,False
ANT,12,63.0,0 days 00:01:14.726000,0 days 00:00:21.230000,0 days 00:00:23.885000,0 days 00:00:29.611000,243.0,283.0,282.0,309.0,MEDIUM,32.0,2.0,True,1.0,True,1,False
ANT,12,64.0,0 days 00:01:15.119000,0 days 00:00:21.455000,0 days 00:00:23.821000,0 days 00:00:29.843000,241.0,283.0,279.0,301.0,MEDIUM,33.0,2.0,True,1.0,True,1,False
ANT,12,65.0,0 days 00:01:14.769000,0 days 00:00:21.101000,0 days 00:00:23.777000,0 days 00:00:29.891000,241.0,282.0,280.0,301.0,MEDIUM,34.0,2.0,True,1.0,True,1,False
ANT,12,66.0,0 days 00:01:14.412000,0 days 00:00:21.124000,0 days 00:00:23.791000,0 days 00:00:29.497000,242.0,286.0,281.0,315.0,MEDIUM,35.0,2.0,True,1.0,True,1,False
ANT,12,67.0,0 days 00:01:14.609000,0 days 00:00:21.123000,0 days 00:00:23.652000,0 days 00:00:29.834000,241.0,282.0,280.0,301.0,MEDIUM,36.0,2.0,True,1.0,True,1,False
ANT,12,68.0,0 days 00:01:14.210000,0 days 00:00:20.989000,0 days 00:00:23.638000,0 days 00:00:29.583000,242.0,282.0,283.0,323.0,MEDIUM,37.0,2.0,True,1.0,True,1,True
ALO,14,1.0,0 days 00:01:36.126000,,0 days 00:00:28.969000,0 days 00:00:32.990000,209.0,274.0,273.0,322.0,SOFT,1.0,1.0,True,14.0,False,1,False
ALO,14,2.0,0 days 00:01:23.708000,0 days 00:00:24.705000,0 days 00:00:26.647000,0 days 00:00:32.356000,229.0,270.0,273.0,325.0,SOFT,2.0,1.0,True,10.0,True,1,True
ALO,14,3.0,0 days 00:01:21.584000,0 days 00:00:23.899000,0 days 00:00:26.104000,0 days 00:00:31.581000,228.0,270.0,274.0,310.0,SOFT,3.0,1.0,True,10.0,True,1,True
ALO,14,4.0,0 days 00:01:21.632000,0 days 00:00:23.438000,0 days 00:00:25.899000,0 days 00:00:32.295000,228.0,269.0,269.0,336.0,SOFT,4.0,1.0,True,10.0,True,1,False
ALO,14,5.0,0 days 00:01:20.381000,0 days 00:00:23.438000,0 days 00:00:25.564000,0 days 00:00:31.379000,230.0,271.0,269.0,315.0,SOFT,5.0,1.0,True,10.0,True,1,True
ALO,14,6.0,0 days 00:01:20.942000,0 days 00:00:23.250000,0 days 00:00:25.723000,0 days 00:00:31.969000,228.0,265.0,274.0,309.0,SOFT,6.0,1.0,True,11.0,True,1,False
ALO,14,7.0,0 days 00:01:19.951000,0 days 00:00:23.165000,0 days 00:00:25.501000,0 days 00:00:31.285000,229.0,268.0,267.0,314.0,SOFT,7.0,1.0,True,11.0,True,1,True
